T_pour,T_mold,diameter_mm,solidification_time_s
1300,150,60,79.00414201183501
1300,150,80,126.12249835629827
1300,150,100,182.75197238661795
1300,150,120,249.06390532551822
1300,200,60,79.15100591716028
1300,200,80,126.3759105850949
1300,200,100,183.33990795532287
1300,200,120,249.92781065096236
1300,250,60,79.33242603550325
1300,250,80,126.81362261665272
1300,250,100,184.11982248523756
1300,250,120,251.15455621309303
1300,300,60,79.58727810650885
1300,300,80,127.44331360942012
1300,300,100,185.0677186062108
1300,300,120,252.778698224928
1300,350,60,79.92852071005872
1300,350,80,128.09604207753267
1300,350,100,186.39957264960358
1300,350,120,254.93846153853835
1400,150,60,83.30639053253974
1400,150,80,131.9356213017241
1400,150,100,190.65910585144536
1400,150,120,258.9469822485943
1400,200,60,83.453254437865
1400,200,80,132.2504667981078
1400,200,100,191.24704142015028
1400,200,120,259.8454437870547
1400,250,60,83.6433136094624
1400,250,80,132.66514135432047
1400,250,100,192.03895463514058
1400,250,120,261.0894674556922
1400,300,60,83.89384615384078
1400,300,80,133.30251150553624
1400,300,100,192.9748520710382
1400,300,120,262.69633136101567
1400,350,60,84.26532544378115
1400,350,80,134.00899408278747
1400,350,100,194.37869822488466
1400,350,120,264.97704142018443
1450,150,60,85.43591715975603
1450,150,80,134.91513477969664
1450,150,100,194.35470085473344
1450,150,120,263.61207100598494
1450,200,60,85.57846153845408
1450,200,80,135.19158448383843
1450,200,100,195.05062458911885
1450,200,120,264.4586982249188
1450,250,60,85.78579881656033
1450,250,80,135.6523339907414
1450,250,100,195.7945430638067
1450,250,120,265.737278106574
1450,300,60,86.03633136093872
1450,300,80,136.33577909264747
1450,300,100,196.81443129523362
1450,300,120,267.2577514793532
1450,350,60,86.37325443786138
1450,350,80,137.01154503610516
1450,350,100,198.06229454309712
1450,350,120,269.4866272189954
1500,150,60,87.51792899407297
1500,150,80,137.8024983562886
1500,150,100,198.1342866535508
1500,150,120,268.44994082846415
1500,200,60,87.66911242602545
1500,200,80,138.14806048646582
1500,200,100,198.8182117028606
1500,200,120,269.3829585799423
1500,250,60,87.86349112425006
1500,250,80,138.63184746871394
1500,250,100,199.5981262327753
1500,250,120,270.6269822485798
1500,300,60,88.14857988164616
1500,300,80,139.1847468769975
1500,300,100,200.57001972389975
1500,300,120,272.2511242604121
1500,350,60,88.53301775146817
1500,350,80,139.9526627218358
1500,350,100,201.9978632478974
1500,350,120,274.4454437870366
1550,150,60,89.71656804732469
1550,150,80,140.82040762650306
1550,150,100,201.8778763971413
1550,150,120,272.9249704142574
1550,200,60,89.86775147927716
1550,200,80,141.12757396443837
1550,200,100,202.5498027613755
1550,200,120,273.8407100592267
1550,250,60,90.0707692307562
1550,250,80,141.54224852065104
1550,250,100,203.25772518083653
1550,250,120,275.0501775148465
1550,300,60,90.32994082838901
1550,300,80,142.12586456272814
1550,300,100,204.229618671961
1550,300,120,276.81254437874964
1550,350,60,90.6755029585661
1550,350,80,142.91681788291157
1550,350,100,205.60946745565622
1550,350,120,278.92047337282986
